evtype,match1,match2
Astronomical Low Tide,,
Avalanche,AVALANCHE,
Blizzard,BLIZZARD,
Coastal Flood,COASTAL.FLOOD,
Cold/Wind Chill,,
Debris Flow,,
Dense Fog,DENSE.FOG,
Dense Smoke,SMOKE,
Drought,DROUGHT,
Dust Devil,DUST DEVIL,
Dust Storm,DUST STORM,
Excessive Heat,,
Extreme Cold/Wind Chill,EXTREME.COLD,
Flash Flood,FLASH FLOOD,
Flood,,
Frost/Freeze,FROST,FREEZE
Funnel Cloud,FUNNEL,
Freezing Fog,,
Hail,,
Heat,,
Heavy Rain,HEAVY RAIN,
Heavy Snow,HEAVY SNOW,
High Surf,HIGH SURF,
High Wind,HIGH WIND,
Hurricane (Typhoon),HURRICANE,TYPHOON
Ice Storm,ICE STORM,
Lake-Effect Snow,LAKE.EFFECT.SNOW,
Lakeshore Flood,,
Lightning,LIGHTNING,
Marine Hail,,
Marine High Wind,,
Marine Strong Wind,,
Marine Thunderstorm Wind,,
Rip Current,RIP.CURRENT,
Seiche,,
Sleet,SLEET,
Storm Surge/Tide,STORM.SURGE,
Strong Wind,STRONG.WIND,
Thunderstorm Wind,THUNDERSTORM.WIND,TSTM.WIND
Tornado,TORNADO,
Tropical Depression,TROPICAL.DEPRESSION,
Tropical Storm,TROPICAL.STORM,
Tsunami,,
Volcanic Ash,VOLCANIC.ASH,
Waterspout,WATERSPOUT,
Wildfire,WILDFIRE,
Winter Storm,WINTER.STORM,
Winter Weather,WINTER.WEATHER,
